 Year ; Month ; Day ; FECHA completa ;Valor Neto; Margen ; Mar% ; Cantidad ; Costo Promedio ; Fecha con dia semana ; Semana del año ; DIA de la semana ; index 
2018;Abril;18;18/Abril/2018;59871443.00;$ 18,708,802.95;31.25%;40,116.00;$ 41,162,640.05;miércoles, 18 de abril de 2018;16;miércoles;991
2018;Abril;19;19/Abril/2018;28565806.00;$ 10,952,785.86;38.34%;18,052.00;$ 17,613,020.14;jueves, 19 de abril de 2018;16;jueves;992
2018;Abril;20;20/Abril/2018;30774167.00;$ 9,299,049.14;30.22%;16,072.00;$ 21,475,117.86;viernes, 20 de abril de 2018;16;viernes;993
2018;Abril;21;21/Abril/2018;7036889.00;$ 2,924,177.70;41.55%;6,920.00;$ 4,112,711.30;sábado, 21 de abril de 2018;16;sábado;994
2018;Abril;23;23/Abril/2018;30543209.00;$ 11,879,362.14;38.89%;22,784.00;$ 18,663,846.86;lunes, 23 de abril de 2018;17;lunes;995
2018;Abril;24;24/Abril/2018;34848962.00;$ 13,775,879.21;39.53%;28,134.00;$ 21,073,082.79;martes, 24 de abril de 2018;17;martes;996
2018;Abril;25;25/Abril/2018;37310266.00;$ 13,380,278.40;35.86%;26,885.00;$ 23,929,987.60;miércoles, 25 de abril de 2018;17;miércoles;997
2018;Abril;26;26/Abril/2018;32076491.00;$ 12,452,711.84;38.82%;23,120.29;$ 19,623,779.16;jueves, 26 de abril de 2018;17;jueves;998
2018;Abril;27;27/Abril/2018;49750591.00;$ 19,174,498.72;38.54%;33,905.00;$ 30,576,092.28;viernes, 27 de abril de 2018;17;viernes;999
2018;Abril;28;28/Abril/2018;6033511.00;$ 2,369,682.25;39.28%;7,584.00;$ 3,663,828.75;sábado, 28 de abril de 2018;17;sábado;1000
2018;Abril;30;30/Abril/2018;57483921.38;$ 18,734,583.30;32.59%;30,610.00;$ 38,749,338.08;lunes, 30 de abril de 2018;18;lunes;1001
2018;Mayo;2;2/Mayo/2018;17307474.00;$ 6,854,518.17;39.60%;18,108.00;$ 10,452,955.83;miércoles, 2 de mayo de 2018;18;miércoles;1002
2018;Mayo;3;3/Mayo/2018;26201586.00;$ 9,620,698.31;36.72%;15,995.00;$ 16,580,887.69;jueves, 3 de mayo de 2018;18;jueves;1003
